nFinIndID	sPeriodType	nTB	nOSB	nVSP	nClientID	nProductMK	nProductGID	nCompanyGroupID	nChannelMK	nChannelGID	nSegmentMK	nSegmentGID	dtDate	nServiceChannelMK	sServiceChannelCd	nAdjTypeID	nPayTermId	nUFIID	nEFIID	nOrgProfitCenterGID	dvalue	nSegmentGID_RB	nSegmentGID_KIB	nIndustryGID
17	M	52	5221	-1	903005826	11040407	2058399	4	3080	172799	20402	101799	31.03.2019	1	MASS	-2	-1	-1	?	148199	1	-1	101799	?
1	M	44	8644	4	912985926	11040393	2059199	1	3080	173099	20402	101799	31.08.2020	1	MASS	-2	-1	5000012	1865	158799	2500	-1	101799	?
10	M	40	1026	-1	31127970026	11040393	2059199	1	3080	172799	20402	101799	30.09.2018	1	MASS	-2	-1	900238	125	148199	1	-1	101799	?
1	M	42	8618	2	29121406026	4130104	2922399	2	3080	173099	20402	101799	31.05.2020	1	MASS	60001	-1	5000010	1865	148199	500	-1	101799	?
10	M	13	8592	-1	670342426	4060100	2059099	4	3080	172799	20201	102299	31.08.2019	1	MASS	-2	-1	900238	125	150599	1	-1	102299	?
17	M	99	-1	-1	767117826	4080000	2058699	4	3080	172799	20402	101799	31.12.2020	1	MASS	9000	0	-1	?	158799	-1	-1	101799	?
10	M	99	-1	-1	812251126	4060100	2059099	4	3080	173099	20402	101799	31.10.2020	1	MASS	9000	0	900238	125	158799	-1	-1	101799	?
17	M	42	8618	8618	672069426	4060100	2059099	4	3080	173099	20202	102099	31.08.2019	1	MASS	-2	-1	-1	?	152299	1	-1	102099	?
10	M	54	1039	8213	1018274826	11040407	2058399	4	3080	172799	20402	101799	31.01.2020	1	MASS	9001	-1	900238	125	158799	1	-1	101799	?
10	M	99	-1	-1	1160048026	4060100	2059099	4	3080	173099	20402	101799	31.10.2020	1	MASS	9000	0	900238	125	158799	-1	-1	101799	?
10	M	52	8619	-1	29985474026	4080000	2058699	4	3080	173099	20402	101799	30.06.2019	1	MASS	-2	-1	900238	125	148199	1	-1	101799	?
11	M	44	8644	8	49587474042	4130104	2922399	2	3080	173099	20402	101799	31.03.2020	1	MASS	-2	-1	900241	1029	158799	1	-1	101799	?
10	M	44	8615	7	29107488026	4060100	2059099	4	3080	173099	20402	101799	30.09.2019	1	MASS	-2	-1	900238	125	148199	1	-1	101799	?
17	M	16	7003	21	958708926	4130800	2059599	1	3080	173099	20402	101799	31.01.2020	1	MASS	-2	-1	-1	?	158799	1	-1	101799	?
13	M	44	8615	9	30370233026	4060100	2059099	4	3080	173099	20402	101799	31.10.2020	1	MASS	9001	-1	900244	1030	158799	1	-1	101799	?
10	M	99	-1	-1	890357126	11040407	2058399	4	3080	172799	20401	102199	31.08.2020	1	MASS	9000	0	900238	125	158799	-10	-1	102199	?
17	M	40	1023	2	30371369026	4130800	2059599	2	3080	173099	20401	102199	31.05.2021	1	MASS	-2	-1	-1	?	158799	1	-1	102199	?
10	M	42	8618	8618	831992526	4080000	2058699	4	3080	173099	20402	101799	30.11.2019	1	MASS	-2	-1	900238	125	148199	1	-1	101799	?
10	M	16	7003	14	29780376026	4130800	2059599	1	3080	173099	20402	101799	31.12.2020	1	MASS	-2	-1	900238	125	158799	1	-1	101799	?
17	M	13	8596	425	1033172826	11040407	2058399	4	3080	172799	20402	101799	30.06.2020	1	MASS	9001	-1	-1	?	158799	1	-1	101799	?
10	M	70	8635	273	1433641606467504844	11040407	2058399	4	3080	172799	20402	101799	31.12.2020	1	MASS	9001	-1	900238	125	158799	1	-1	101799	?
17	M	13	8593	1	1242934726	4130800	2059599	1	3080	173099	20402	101799	31.10.2020	1	MASS	-2	-1	-1	?	158799	1	-1	101799	?
17	M	55	8629	8629	848177126	4080000	2058699	4	3080	172799	20402	101799	31.10.2018	1	MASS	-2	-1	-1	?	148199	1	-1	101799	?
17	M	40	1025	16	725179026	4130900	2060699	2	3080	173099	20401	102199	28.02.2019	1	MASS	-2	-1	-1	?	151999	1	-1	102199	?
18	M	54	6991	6991	31247185026	4080000	2058699	4	3080	173099	20402	101799	31.10.2018	1	MASS	-2	-1	-1	?	148199	1	-1	101799	?
17	M	52	5221	5221	952562426	11040407	2058399	4	3080	172799	20402	101799	30.04.2018	1	MASS	-2	-1	-1	?	148199	1	-1	101799	?
